prc,qty,asian,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,t
.6222222,1875,1,1,0,0,0,15,7.5,20,9,1
.9722222,2900,1,0,0,1,0,10,5,20,7.5,2
1.233333,770,1,0,0,0,1,10,6,20,4,3
1.928571,927,1,0,0,0,0,15,6,20,5,4
.803125,4220,1,1,0,0,0,10,3.5,20,3.5,5
.8818182,4230,1,0,1,0,0,15,4.5,15,3.5,6
.76875,3079,1,0,0,1,0,10,4.5,20,3.5,7
.83,945,1,0,0,0,1,10,4,20,4.5,8
.6892857,7925,1,0,0,0,0,10,4,15,4.5,9
1.474074,4895,1,1,0,0,0,20,12.5,20,3.5,10
1.616667,1275,1,0,1,0,0,15,9,45,12.5,11
1.45,1834,1,0,0,1,0,15,7.5,30,12.5,12
1.279167,4295,1,0,0,0,1,10,4.5,25,9,13
1.216667,3120,1,0,0,0,0,10,4.5,20,7.5,14
.89,4165,1,1,0,0,0,10,6,25,4,15
.83,3250,1,0,1,0,0,10,4,25,6,16
1.278571,1730,1,0,0,1,0,15,8,15,6,17
1.083333,1245,1,0,0,0,1,15,8,20,4,18
1.0625,540,1,0,0,0,0,15,7.5,35,8,19
1,110,1,1,0,0,0,20,5.5,20,5,20
1.25,450,1,0,1,0,0,15,5.5,30,4.5,21
.925,1670,1,0,0,1,0,10,3,25,5.5,22
.5958334,5010,1,0,0,0,1,10,3.5,20,5.5,23
.5,3785,1,0,0,0,0,10,5,20,3,24
.425,1940,1,1,0,0,0,15,5.5,35,6,25
.5,1680,1,0,1,0,0,15,4,20,6,26
.5583333,1145,1,0,0,1,0,15,3,25,5.5,27
.5142857,2120,1,0,0,0,1,10,2.5,15,4,28
.5833334,1690,1,0,0,0,0,10,2.5,15,3,29
.6590909,4805,1,1,0,0,0,25,8,20,3,30
.3666667,1010,1,0,1,0,0,15,8,35,8,31
.5125,585,1,0,0,1,0,12,6.5,35,8,32
1.4875,2300,1,0,0,0,1,12,6.5,25,8,33
1.432143,1885,1,0,0,0,0,10,6.5,18,6.5,34
1.386667,2090,1,1,0,0,0,15,6.5,20,3.5,35
1.55,330,1,0,1,0,0,10,6.5,25,5,36
1.196154,3040,1,0,0,1,0,10,4.5,30,6.5,37
.95,4190,1,0,0,0,1,15,4.5,15,6.5,38
.515625,7420,1,0,0,0,0,10,5,20,4.5,39
.4083333,6435,1,0,1,0,0,10,4.5,20,3,40
.2666667,1430,1,0,0,1,0,10,5,25,4.5,41
.3571429,1580,1,0,0,0,1,12,5,15,4.5,42
.4214286,4195,1,0,0,0,0,12,4,18,5,43
.4666667,1020,1,1,0,0,0,5,4,20,4,44
.4333333,1220,1,0,1,0,0,10,5.5,10,3.5,45
.7928572,1570,1,0,0,1,0,15,6,15,4,46
1.183333,550,1,0,0,0,1,15,8,25,5.5,47
1.33125,1140,1,0,0,0,0,15,8,25,6,48
1.133333,1040,1,1,0,0,0,15,6,20,4,49
1.041667,410,1,0,1,0,0,10,4.5,30,6,50
.773077,4320,1,0,0,1,0,10,4.5,15,6,51
.7833334,3440,1,0,0,0,1,5,4,20,4.5,52
.5857143,3620,1,0,0,0,0,5,3.5,20,4.5,53
.4125,2800,1,1,0,0,0,10,5.5,15,3.5,54
.6,5940,1,0,1,0,0,10,3.5,30,5.5,55
.7722222,2320,1,0,0,1,0,10,5,15,5.5,56
.7166667,3075,1,0,0,0,1,20,6.5,15,3.5,57
.6833333,1120,1,0,0,0,0,25,6.5,25,5,58
.6,1560,1,1,0,0,0,15,3.5,20,6.5,59
.5083333,3380,1,0,1,0,0,15,4,20,4,60
.9166667,630,1,0,0,1,0,15,5,20,3.5,61
1.083333,1500,1,0,0,0,1,10,5,15,4,62
.6,1460,1,0,0,0,0,10,8,25,5,63
.7,335,1,1,0,0,0,5,3,18,8,64
.74,1420,1,0,1,0,0,5,7,20,3.5,65
.62,1530,1,0,0,1,0,15,7,10,3,66
.6117647,4440,1,0,0,0,1,10,4,25,7,67
.8071429,1530,1,0,0,0,0,10,5,20,7,68
1.15,660,1,1,0,0,0,25,8,35,6.5,69
.9,360,1,0,1,0,0,10,6.5,35,8,70
.8,3440,1,0,0,1,0,10,4,35,8,71
.63125,3270,1,0,0,0,1,10,4,15,6.5,72
.5266666,6190,1,0,0,0,0,10,4,15,4,73
.65,1482,1,1,0,0,0,10,4,20,4,74
.75,200,1,0,1,0,0,10,4,15,4,75
.5066667,6660,1,0,0,1,0,10,3,20,4,76
.65625,1400,1,0,0,0,1,10,3,15,4,77
.645,3480,1,0,0,0,0,10,3,15,3,78
.68125,2960,1,1,0,0,0,15,3.5,15,3,79
.65,930,1,0,1,0,0,15,4,25,3,80
.6,190,1,0,0,1,0,5,4,25,3.5,81
.71875,4820,1,0,0,0,1,5,3,25,4,82
.7807692,4750,1,0,0,0,0,10,4,10,4,83
.7475,4600,1,0,1,0,0,10,4,15,4,84
.855,1620,1,0,0,1,0,10,3,15,4,85
.8533334,3330,1,0,0,0,1,10,5,15,4,86
.5807692,9120,1,0,0,0,0,10,5,15,3,87
.60625,1620,1,1,0,0,0,10,3.5,18,3,88
.5333334,1260,1,0,1,0,0,10,3,15,3.5,89
.4333333,3420,1,0,0,1,0,10,3,15,3.5,90
.38,4890,1,0,0,0,1,10,3,15,3,91
.3088235,5700,1,0,0,0,0,10,3.5,15,3,92
.3208333,2290,1,1,0,0,0,15,4.5,15,3.5,93
.875,540,1,0,1,0,0,12,4.5,25,4,94
1.235714,1000,1,0,0,1,0,12,5,25,4.5,95
1.25,2500,1,0,0,0,1,15,6,18,4.5,96
1.73,3040,1,0,0,0,0,15,9,20,5,97
.7666667,2205,0,1,0,0,0,15,7.5,20,9,1
1.175,566,0,0,0,1,0,10,5,20,7.5,2
1.475,1525,0,0,0,0,1,10,6,20,4,3
1.625,943,0,0,0,0,0,15,6,20,5,4
.8642857,2665,0,1,0,0,0,10,3.5,20,3.5,5
.9142857,1375,0,0,1,0,0,15,4.5,15,3.5,6
.83,1880,0,0,0,1,0,10,4.5,20,3.5,7
1,1240,0,0,0,0,1,10,4,20,4.5,8
.7615384,1395,0,0,0,0,0,10,4,15,4.5,9
1.538889,1898,0,1,0,0,0,20,12.5,20,3.5,10
1.5,650,0,0,1,0,0,15,9,45,12.5,11
1.511111,636,0,0,0,1,0,15,7.5,30,12.5,12
1.353125,4522,0,0,0,0,1,10,4.5,25,9,13
1.26875,1545,0,0,0,0,0,10,4.5,20,7.5,14
.9863636,3075,0,1,0,0,0,10,6,25,4,15
.93,540,0,0,1,0,0,10,4,25,6,16
1.25,300,0,0,0,1,0,15,8,15,6,17
1.233333,1640,0,0,0,0,1,15,8,20,4,18
1.166667,660,0,0,0,0,0,15,7.5,35,8,19
1.25,60,0,1,0,0,0,20,5.5,20,5,20
1.25,650,0,0,1,0,0,15,5.5,30,4.5,21
.975,810,0,0,0,1,0,10,3,25,5.5,22
.7428572,1105,0,0,0,0,1,10,3.5,20,5.5,23
.43,3000,0,0,0,0,0,10,5,20,3,24
.6,840,0,1,0,0,0,15,5.5,35,6,25
.25,100,0,0,1,0,0,15,4,20,6,26
.6,965,0,0,0,1,0,15,3,25,5.5,27
.5590909,2585,0,0,0,0,1,10,2.5,15,4,28
.5888889,960,0,0,0,0,0,10,2.5,15,3,29
.625,2040,0,1,0,0,0,25,8,20,3,30
.6,60,0,0,1,0,0,15,8,35,8,31
1.25,200,0,0,0,1,0,12,6.5,35,8,32
1.45,1145,0,0,0,0,1,12,6.5,25,8,33
1.42,4020,0,0,0,0,0,10,6.5,18,6.5,34
1.39,1370,0,1,0,0,0,15,6.5,20,3.5,35
1.633333,760,0,0,1,0,0,10,6.5,25,5,36
1.35,1420,0,0,0,1,0,10,4.5,30,6.5,37
1.041667,1870,0,0,0,0,1,15,4.5,15,6.5,38
.7333333,2235,0,0,0,0,0,10,5,20,4.5,39
.52,1445,0,0,1,0,0,10,4.5,20,3,40
.35,565,0,0,0,1,0,10,5,25,4.5,41
.475,1500,0,0,0,0,1,12,5,15,4.5,42
.54375,1330,0,0,0,0,0,12,4,18,5,43
.575,1200,0,1,0,0,0,5,4,20,4,44
.5,300,0,0,1,0,0,10,5.5,10,3.5,45
.8333333,305,0,0,0,1,0,15,6,15,4,46
1.227778,875,0,0,0,0,1,15,8,25,5.5,47
1.216667,1340,0,0,0,0,0,15,8,25,6,48
1.1125,1935,0,1,0,0,0,15,6,20,4,49
1.064286,1300,0,0,1,0,0,10,4.5,30,6,50
.7681818,2820,0,0,0,1,0,10,4.5,15,6,51
.7818182,3420,0,0,0,0,1,5,4,20,4.5,52
.6428571,1153,0,0,0,0,0,5,3.5,20,4.5,53
.4483333,6800,0,1,0,0,0,10,5.5,15,3.5,54
.7071428,1300,0,0,1,0,0,10,3.5,30,5.5,55
.87,540,0,0,0,1,0,10,5,15,5.5,56
.748,2900,0,0,0,0,1,20,6.5,15,3.5,57
.6944444,950,0,0,0,0,0,25,6.5,25,5,58
.6388889,2980,0,1,0,0,0,15,3.5,20,6.5,59
.6214285,2690,0,0,1,0,0,15,4,20,4,60
1,620,0,0,0,1,0,15,5,20,3.5,61
1.15625,1305,0,0,0,0,1,10,5,15,4,62
.5954546,3050,0,0,0,0,0,10,8,25,5,63
1,950,0,1,0,0,0,5,3,18,8,64
.775,410,0,0,1,0,0,5,7,20,3.5,65
.675,950,0,0,0,1,0,15,7,10,3,66
.6153846,4225,0,0,0,0,1,10,4,25,7,67
.8416667,340,0,0,0,0,0,10,5,20,7,68
1.216667,480,0,1,0,0,0,25,8,35,6.5,69
1.333333,690,0,0,1,0,0,10,6.5,35,8,70
.8416667,830,0,0,0,1,0,10,4,35,8,71
.64375,5320,0,0,0,0,1,10,4,15,6.5,72
.5911765,3270,0,0,0,0,0,10,4,15,4,73
.6916667,2550,0,1,0,0,0,10,4,20,4,74
.6166667,675,0,0,1,0,0,10,4,15,4,75
.5866667,4280,0,0,0,1,0,10,3,20,4,76
.723,1725,0,0,0,0,1,10,3,15,4,77
.7571428,990,0,0,0,0,0,10,3,15,3,78
.795,1560,0,1,0,0,0,15,3.5,15,3,79
.7357143,680,0,0,1,0,0,15,4,25,3,80
.925,180,0,0,0,1,0,5,4,25,3.5,81
.75,2350,0,0,0,0,1,5,3,25,4,82
.81875,890,0,0,0,0,0,10,4,10,4,83
.7555556,1260,0,0,1,0,0,10,4,15,4,84
.9363636,1330,0,0,0,1,0,10,3,15,4,85
.8657143,2520,0,0,0,0,1,10,5,15,4,86
.6692308,1660,0,0,0,0,0,10,5,15,3,87
.66,1440,0,1,0,0,0,10,3.5,18,3,88
.6055555,1260,0,0,1,0,0,10,3,15,3.5,89
.5166667,970,0,0,0,1,0,10,3,15,3.5,90
.475,2050,0,0,0,0,1,10,3,15,3,91
.3375,900,0,0,0,0,0,10,3.5,15,3,92
.64375,1160,0,1,0,0,0,15,4.5,15,3.5,93
.9333333,690,0,0,1,0,0,12,4.5,25,4,94
1.25,250,0,0,0,1,0,12,5,25,4.5,95
1.25,1480,0,0,0,0,1,15,6,18,4.5,96
1.708333,740,0,0,0,0,0,15,9,20,5,97
